"","Civil.Service.grad","gradeval","Group","Gender","Date","count","total","share","gradescore","sorter","totalgroup","share2","left","grp","yvar"
"103","EO",2,"DCMS","Male",2010,70,720,0.0972222222222222,0.388888888888889,0.658333333333333,FALSE,0.0486111111111111,TRUE,"TRUE2010",0.0486111111111111
"104","EO",2,"DCMS","Female",2010,70,720,0.0972222222222222,0.388888888888889,0.658333333333333,FALSE,0.0486111111111111,TRUE,"TRUE2010",0.0486111111111111
"105","G6/G7",4,"DCMS","Male",2010,120,720,0.166666666666667,1.33333333333333,0.658333333333333,FALSE,0.0833333333333333,TRUE,"TRUE2010",0.0833333333333333
"106","G6/G7",4,"DCMS","Female",2010,120,720,0.166666666666667,1.33333333333333,0.658333333333333,FALSE,0.0833333333333333,TRUE,"TRUE2010",0.0833333333333333
"107","SCS",5,"DCMS","Female",2010,40,720,0.0555555555555556,0.486111111111111,0.658333333333333,FALSE,0.0277777777777778,TRUE,"TRUE2010",0.0277777777777778
"108","SCS",5,"DCMS","Male",2010,30,720,0.0416666666666667,0.486111111111111,0.658333333333333,FALSE,0.0208333333333333,TRUE,"TRUE2010",0.0208333333333333
"109","SEO/HEO",3,"DCMS","Female",2010,140,720,0.194444444444444,1.04166666666667,0.658333333333333,FALSE,0.0972222222222222,TRUE,"TRUE2010",0.0972222222222222
"110","SEO/HEO",3,"DCMS","Male",2010,110,720,0.152777777777778,1.04166666666667,0.658333333333333,FALSE,0.0763888888888889,TRUE,"TRUE2010",0.0763888888888889
"111","AO/AA",1,"DCMS","Female",2014,20,390,0.0512820512820513,0.102564102564103,0.656410256410256,FALSE,0.0256410256410256,TRUE,"TRUE2014",0.0256410256410256
"112","AO/AA",1,"DCMS","Male",2014,20,390,0.0512820512820513,0.102564102564103,0.656410256410256,FALSE,0.0256410256410256,TRUE,"TRUE2014",0.0256410256410256
"113","EO",2,"DCMS","Male",2014,20,390,0.0512820512820513,0.256410256410256,0.656410256410256,FALSE,0.0256410256410256,TRUE,"TRUE2014",0.0256410256410256
"114","EO",2,"DCMS","Female",2014,30,390,0.0769230769230769,0.256410256410256,0.656410256410256,FALSE,0.0384615384615385,TRUE,"TRUE2014",0.0384615384615385
"115","G6/G7",4,"DCMS","Female",2014,60,390,0.153846153846154,1.33333333333333,0.656410256410256,FALSE,0.0769230769230769,TRUE,"TRUE2014",0.0769230769230769
"116","G6/G7",4,"DCMS","Male",2014,70,390,0.179487179487179,1.33333333333333,0.656410256410256,FALSE,0.0897435897435897,TRUE,"TRUE2014",0.0897435897435897
"117","SCS",5,"DCMS","Male",2014,20,390,0.0512820512820513,0.512820512820513,0.656410256410256,FALSE,0.0256410256410256,TRUE,"TRUE2014",0.0256410256410256
"118","SCS",5,"DCMS","Female",2014,20,390,0.0512820512820513,0.512820512820513,0.656410256410256,FALSE,0.0256410256410256,TRUE,"TRUE2014",0.0256410256410256
"119","SEO/HEO",3,"DCMS","Female",2014,70,390,0.179487179487179,1.07692307692308,0.656410256410256,FALSE,0.0897435897435897,TRUE,"TRUE2014",0.0897435897435897
"120","SEO/HEO",3,"DCMS","Male",2014,70,390,0.179487179487179,1.07692307692308,0.656410256410256,FALSE,0.0897435897435897,TRUE,"TRUE2014",0.0897435897435897
"121","AO/AA",1,"DH","Male",2010,50,2710,0.018450184501845,0.0479704797047971,0.656826568265683,FALSE,-0.00922509225092251,FALSE,"FALSE2010",-0.00922509225092251
"122","AO/AA",1,"DH","Female",2010,80,2710,0.029520295202952,0.0479704797047971,0.656826568265683,FALSE,-0.014760147601476,FALSE,"FALSE2010",-0.014760147601476
"123","EO",2,"DH","Male",2010,130,2710,0.0479704797047971,0.339483394833948,0.656826568265683,FALSE,-0.0239852398523985,FALSE,"FALSE2010",-0.0239852398523985
"124","EO",2,"DH","Female",2010,330,2710,0.121771217712177,0.339483394833948,0.656826568265683,FALSE,-0.0608856088560886,FALSE,"FALSE2010",-0.0608856088560886
"125","G6/G7",4,"DH","Male",2010,440,2710,0.162361623616236,1.34317343173432,0.656826568265683,FALSE,-0.0811808118081181,FALSE,"FALSE2010",-0.0811808118081181
"126","G6/G7",4,"DH","Female",2010,470,2710,0.173431734317343,1.34317343173432,0.656826568265683,FALSE,-0.0867158671586716,FALSE,"FALSE2010",-0.0867158671586716
"127","SCS",5,"DH","Female",2010,120,2710,0.044280442804428,0.535055350553506,0.656826568265683,FALSE,-0.022140221402214,FALSE,"FALSE2010",-0.022140221402214
"128","SCS",5,"DH","Male",2010,170,2710,0.0627306273062731,0.535055350553506,0.656826568265683,FALSE,-0.0313653136531365,FALSE,"FALSE2010",-0.0313653136531365
"129","SEO/HEO",3,"DH","Male",2010,410,2710,0.151291512915129,1.01845018450184,0.656826568265683,FALSE,-0.0756457564575646,FALSE,"FALSE2010",-0.0756457564575646
"130","SEO/HEO",3,"DH","Female",2010,510,2710,0.188191881918819,1.01845018450184,0.656826568265683,FALSE,-0.0940959409594096,FALSE,"FALSE2010",-0.0940959409594096
"131","AO/AA",1,"DH","Female",2014,70,1920,0.0364583333333333,0.0572916666666667,0.647916666666667,FALSE,-0.0182291666666667,FALSE,"FALSE2014",-0.0182291666666667
"132","AO/AA",1,"DH","Male",2014,40,1920,0.0208333333333333,0.0572916666666667,0.647916666666667,FALSE,-0.0104166666666667,FALSE,"FALSE2014",-0.0104166666666667
"133","EO",2,"DH","Male",2014,90,1920,0.046875,0.322916666666667,0.647916666666667,FALSE,-0.0234375,FALSE,"FALSE2014",-0.0234375
"134","EO",2,"DH","Female",2014,220,1920,0.114583333333333,0.322916666666667,0.647916666666667,FALSE,-0.0572916666666667,FALSE,"FALSE2014",-0.0572916666666667
"135","G6/G7",4,"DH","Female",2014,360,1920,0.1875,1.35416666666667,0.647916666666667,FALSE,-0.09375,FALSE,"FALSE2014",-0.09375
"136","G6/G7",4,"DH","Male",2014,290,1920,0.151041666666667,1.35416666666667,0.647916666666667,FALSE,-0.0755208333333333,FALSE,"FALSE2014",-0.0755208333333333
"137","SCS",5,"DH","Female",2014,70,1920,0.0364583333333333,0.442708333333333,0.647916666666667,FALSE,-0.0182291666666667,FALSE,"FALSE2014",-0.0182291666666667
"138","SCS",5,"DH","Male",2014,100,1920,0.0520833333333333,0.442708333333333,0.647916666666667,FALSE,-0.0260416666666667,FALSE,"FALSE2014",-0.0260416666666667
